long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_name,nationality_name,preferred_foot,real_face,n_socios,titulos
Karim Benzema,CF; ST,89,89,66000000.0,350000.0,33,1987-12-19,185,81,Real Madrid CF,France,Right,Yes,91701,100
Thibaut Courtois,GK,89,91,85500000.0,250000.0,29,1992-05-11,199,96,Real Madrid CF,Belgium,Left,Yes,91701,100
Carlos Henrique Venancio Casimiro,CDM,89,89,88000000.0,310000.0,29,1992-02-23,185,84,Real Madrid CF,Brazil,Right,Yes,91701,100
Toni Kroos,CM,88,88,75000000.0,310000.0,31,1990-01-04,183,76,Real Madrid CF,Germany,Right,Yes,91701,100
Luka Modrić,CM,87,87,32000000.0,190000.0,35,1985-09-09,172,66,Real Madrid CF,Croatia,Right,Yes,91701,100
Eden Hazard,LW,85,85,52000000.0,240000.0,30,1991-01-07,175,74,Real Madrid CF,Belgium,Right,Yes,91701,100
Daniel Carvajal Ramos,RB,85,85,47500000.0,210000.0,29,1992-01-11,173,73,Real Madrid CF,Spain,Right,Yes,91701,100
David Olatukunbo Alaba,CB; LB,84,84,35500000.0,195000.0,29,1992-06-24,180,78,Real Madrid CF,Austria,Left,Yes,91701,100
Wissam Ben Yedder,ST,84,84,41500000.0,88000.0,30,1990-08-12,170,68,AS Monaco,France,Right,Yes,10000,16
Kevin Volland,ST; CF,83,83,37000000.0,83000.0,28,1992-07-30,179,85,AS Monaco,Germany,Left,Yes,10000,16
Marco Asensio Willemsen,RW; LW,83,86,48000000.0,190000.0,25,1996-01-21,182,76,Real Madrid CF,Spain,Left,Yes,91701,100
Ferland Mendy,LB,83,86,43500000.0,170000.0,26,1995-06-08,180,73,Real Madrid CF,France,Left,Yes,91701,100
Federico Santiago Valverde Dipetta,CM,83,89,58000000.0,160000.0,22,1998-07-22,182,78,Real Madrid CF,Uruguay,Right,Yes,91701,100
Gareth Frank Bale,RM; RW,82,82,25000000.0,170000.0,31,1989-07-16,185,82,Real Madrid CF,Wales,Left,Yes,91701,100
Francisco Román Alarcón Suárez,CAM; CM; LW,82,82,30000000.0,175000.0,29,1992-04-21,176,79,Real Madrid CF,Spain,Right,Yes,91701,100
Éder Gabriel Militão,CB,82,89,56500000.0,130000.0,23,1998-01-18,186,78,Real Madrid CF,Brazil,Right,Yes,91701,100
José Ignacio Fernández Iglesias,CB; RB; LB,81,81,17500000.0,140000.0,31,1990-01-18,180,76,Real Madrid CF,Spain,Right,Yes,91701,100
James Ward-Prowse,CM,81,84,33500000.0,69000.0,26,1994-11-01,173,66,Southampton,England,Right,Yes,15000,3
Lucas Vázquez Iglesias,RW; RB; RM,81,81,25000000.0,170000.0,30,1991-07-01,173,70,Real Madrid CF,Spain,Right,Yes,91701,100
Marcelo Vieira da Silva Júnior,LB,80,80,11000000.0,135000.0,33,1988-05-12,174,75,Real Madrid CF,Brazil,Left,Yes,91701,100
Vinícius José Paixão de Oliveira Júnior,LW,80,90,46500000.0,120000.0,20,2000-07-12,176,73,Real Madrid CF,Brazil,Right,Yes,91701,100
Ruben Aguilar,RB,79,79,16000000.0,53000.0,28,1993-04-26,172,71,AS Monaco,France,Right,No,10000,16
Aleksandr Golovin,CM; CAM; CF,79,83,24500000.0,53000.0,25,1996-05-30,180,69,AS Monaco,Russia,Right,No,10000,16
